Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;3;1;1;90;2000.0;887.0;123.0;22.22;Apartamento
Apartamento;Tijuca;3;2;1;118;2400.0;970.0;0.0;20.34;Apartamento
Apartamento;Tijuca;2;1;1;66;1800.0;800.0;100.0;27.27;Apartamento
Apartamento;Tijuca;3;2;0;82;2600.0;780.0;0.0;31.71;Apartamento
Apartamento;Tijuca;2;0;0;75;1300.0;461.0;62.0;17.33;Apartamento
Apartamento;Tijuca;3;1;1;108;1800.0;700.0;144.0;16.67;Apartamento
Apartamento;Tijuca;3;0;0;100;2600.0;620.0;130.0;26.0;Apartamento
Apartamento;Tijuca;2;2;1;80;2100.0;750.0;100.0;26.25;Apartamento
Apartamento;Tijuca;2;0;0;75;2000.0;715.0;0.0;26.67;Apartamento
Apartamento;Tijuca;2;0;1;110;2000.0;450.0;128.0;18.18;Apartamento
Apartamento;Tijuca;3;1;1;125;2200.0;1092.0;148.0;17.6;Apartamento
Apartamento;Tijuca;2;1;0;68;1600.0;589.0;0.0;23.53;Apartamento
Apartamento;Tijuca;3;0;1;104;1800.0;750.0;150.0;17.31;Apartamento
Apartamento;Tijuca;3;0;0;100;1800.0;200.0;0.0;18.0;Apartamento
Apartamento;Tijuca;3;1;1;76;2400.0;850.0;37.0;31.58;Apartamento
